t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
39,0.5657644032108248,0.0013557991774467038,0.0698067113350759,0.0,0.0,0.0007129202489411774,5.937239077712442e-05,0.029681790616536714,0.0237336507879151,0.046255363328007,0.0,0.0,1.5687340973812452e-05,7.670101959969286e-06,0.0025579493309258058,0.05388534923977988,0.0024740483071247067,0.0,0.0,3.1949779757408906e-05,4.798568774695487e-06,0.11587632824889497,0.00027643169913762865,0.00019722935837347666
40,0.5651171599385489,0.0013621651022415462,0.06962535055606105,0.0,0.0,0.0007128187233238423,5.967254105422839e-05,0.030099556913419846,0.023820540144872716,0.045744827200628876,0.0,0.0,1.5947889286572127e-05,7.770210176582788e-06,0.0026115606925079683,0.05397573946088646,0.002508128240879834,0.0,0.0,3.201458006023281e-05,4.812512206078984e-06,0.11584553743473051,0.00027653228417930716,0.00019730112410546073
41,0.5644762569331623,0.0013679605451255858,0.0694538865207825,0.0,0.0,0.0007127192842128666,5.997600528417992e-05,0.030507761981103852,0.023898037093837268,0.04525331092054026,0.0,0.0,1.620455481500445e-05,7.868105348097985e-06,0.002664180776713392,0.05406438545831109,0.0025432636449321225,0.0,0.0,3.207843178795897e-05,4.827307976856076e-06,0.11581475981750054,0.00027663284106111655,0.0001973728697458528
42,0.5638415834096552,0.0013732182510577116,0.06929180920189482,0.0,0.0,0.0007126220014674323,6.0282518505430896e-05,0.03090672073094714,0.02396668321235937,0.04477995554439374,0.0,0.0,1.645746978404912e-05,7.963877786331304e-06,0.002715784994903148,0.05415131468444109,0.0025794150061601902,0.0,0.0,3.214134972371815e-05,4.842937333006708e-06,0.1157839953975697,0.00027673336979094047,0.00019744459530027776
43,0.56321303103201,0.0013779690089176038,0.06913863817458,0.0,0.0,0.0007125269388180246,6.0591831223413745e-05,0.031296734452054054,0.02402698894965239,0.044323946992047426,0.0,0.0,1.6706760614308353e-05,8.057613175544715e-06,0.002766352544997976,0.05423655541393063,0.0026165424963600636,0.0,0.0,3.220334918484274e-05,4.8593810930139315e-06,0.11575324416798509,0.0002768338703766604,0.00019751630077435883
44,0.5625904937956001,0.0013822416054167885,0.06899392148466202,0.0,0.0,0.0007124341540058302,6.090370894263432e-05,0.031678091226975506,0.024079434879118147,0.04388451437469565,0.0,0.0,1.6952548097094843e-05,8.149392756393051e-06,0.002815866269744291,0.054320136680489,0.0026546060396731392,0.0,0.0,3.2264445985098036e-05,4.876619686613162e-06,0.11572250611460447,0.0002769343428261556,0.00019758798617371774
45,0.5619738681905923,0.0013860634981307173,0.06885723137231073,0.0,0.0,0.0007123437000080992,6.121792982002896e-05,0.03205106744511119,0.024124475762184853,0.04346092440482892,0.0,0.0,1.7194948038799843e-05,8.239293910760117e-06,0.0028643119592739624,0.0544020880412246,0.0026935655510712253,0.0,0.0,3.232465629311336e-05,4.894633297741276e-06,0.11569178121693544,0.00027703478714730307,0.00019765965150397464
46,0.5613630529099438,0.0013894606033649048,0.06872816218334936,0.0,0.0,0.0007122556251820248,6.153428391674115e-05,0.03241592853435554,0.024162542950652587,0.0430524782557105,0.0,0.0,1.743407156569687e-05,8.327390515518696e-06,0.0029116781267224737,0.054482439465785834,0.00273338105954551,0.0,0.0,3.238399656652761e-05,4.91340193292975e-06,0.11566106944819848,0.0002771352033479777,0.00019773129677074812
47,0.5607579488589624,0.0013924573918806576,0.06860632986332355,0.0,0.0,0.0007121699734238584,6.1852572896852e-05,0.032772929180782624,0.02419404486474668,0.042658510861863765,0.0,0.0,1.7670025217240045e-05,8.413753006820296e-06,0.002957955916741357,0.054561221306796776,0.0027740127319654966,0.0,0.0,3.244248353389871e-05,4.932905438608816e-06,0.11563037077555943,0.000277235591436052,0.0001978029219796551
48,0.5601584594173341,0.0013950770491715642,0.06849137488768385,0.0,0.0,0.0007120867838525476,6.217261114951872e-05,0.033122312402492145,0.024219363753491128,0.0422783950932702,0.0,0.0,1.7902910558136638e-05,8.49844789340504e-06,0.0030031394364131675,0.05463846445288522,0.002815420690791954,0.0,0.0,3.250013428499448e-05,4.9531234054195966e-06,0.11559968516026455,0.0002773359514193966,0.00019787452713631104
49,0.5595644900709164,0.0013973416171532628,0.0683829550630553,0.0,0.0,0.0007120060920397987,6.24942225856779e-05,0.033464312012005074,0.024238863283479007,0.041911531682608145,0.0,0.0,1.8132825215750976e-05,8.581538872120215e-06,0.0030472248026690114,0.054714199941623826,0.002857565436779377,0.0,0.0,3.2556966040192615e-05,4.97403540625169e-06,0.11556901255819776,0.0002774362833058795,0.0001979461122463298
